iter	Passed	Remaining
0	245	122592
1	488	12173122	647	107283	3	878	108944	4	1058	1055	115	1341	11045866	1600	112697	7	1789	11008	18	1979	107966
9	21610	2226	910	2311	2422	9811	2577	104833
12	2762	103485
13	29114	2909	114	3115	3096	1515	3396	102733116	3574	101552
17	3797	101692
18	3937	99692
19	4150	99623
20	4333	98856
21	4502	97836
22	4696	97395
23	4804	95287
24	4996	94941
25	5197	94759
26	5372	94113
27	5547	93508
28	5666	92023
29	5795	90793
30	5944	89933
31	6128	89628
32	6296	89103
33	6467	88648
34	6668	88601
35	6817	87873
36	6937	86812
37	7207	87627
38	7356	86955
39	7512	86395
40	7668	85845
41	7788	84927
42	7916	84140
43	8016	83082
44	8099	81896
45	8194	80873
46	8308	80083
47	8437	79454
48	8529	78510
49	8644	77800
50	8768	77200
51	8890	76595
52	9036	76213
53	9140	75490
54	9250	74843
55	9371	74301
56	9478	73669
57	9597	73139
58	9727	72707
59	9837	72141
60	9912	71335
61	10059	71063
62	10145	70376
63	10263	69919
64	10364	69362
65	10518	69167
66	10662	68908
67	10786	68527
68	10905	68116
69	11015	67664
70	11115	67161
71	11221	66705
72	11330	66277
73	11445	65889
74	11564	65532
75	11677	65147
76	11793	64788
77	11895	64356
78	11994	63919
79	12128	63674
80	12240	63316
81	12361	63014
82	12473	62668
83	12597	62388
84	12710	62056
85	12842	61822
86	12927	61369
87	13033	61022
88	13210	61007
89	13349	60813
90	13429	60358
91	13516	59941
92	13637	59682
93	13773	59489
94	13864	59105
95	14010	58962
96	14145	58771
97	14228	58367
98	14321	58010
99	14424	57698
100	14551	57484
101	14687	57309
102	14836	57186
103	14992	57085
104	15132	56926
105	15230	56613
106	15343	56356
107	15440	56045
108	15595	55944
109	15696	55649
110	15815	55425
111	15938	55216
112	16041	54939
113	16202	54861
114	16315	54620
115	16406	54311
116	16540	54144
117	16659	53931
118	16789	53753
119	16943	53655
120	17050	53406
121	17187	53252
122	17326	53107
123	17517	53118
124	17685	53056
125	17803	52846
126	17920	52632
127	18072	52524
128	18212	52378
129	18352	52233
130	18490	52085
131	18610	51882
132	18717	51648
133	18780	51297
134	18939	51205
135	19068	51036
136	19201	50876
137	19307	50647
138	19439	50485
139	19633	50487
140	19745	50272
141	19862	50076
142	19998	49927
143	20099	49689
144	20196	49447
145	20288	49191
146	20394	48974
147	20536	48843
148	20673	48700
149	20743	48401
150	20840	48168
151	20988	48053
152	21123	47906
153	21227	47692
154	21380	47589
155	21487	47383
156	21626	47247
157	21766	47113
158	21888	46943
159	22044	46844
160	22246	46841
161	22341	46614
162	22429	46373
163	22551	46203
164	22676	46040
165	22798	45870
166	22891	45646
167	23085	45620
168	23326	45686
169	23500	45617
170	23658	45518
171	23856	45493
172	23943	45257
173	24040	45041
174	24213	44967
175	24334	44798
176	24500	44710
177	24706	44693
178	24866	44592
179	24986	44419
180	25103	44242
181	25240	44101
182	25353	43918
183	25492	43779
184	25620	43623
185	25764	43495
186	25925	43394
187	26033	43204
188	26124	42987
189	26210	42765
190	26390	42694
191	26513	42532
192	26611	42330
193	26767	42220
194	26910	42091
195	26992	41865
196	27128	41725
197	27234	41539
198	27362	41387
199	27466	41199
200	27570	41012
201	27656	40800
202	27775	40636
203	27851	40411
204	27991	40279
205	28095	40097
206	28179	39886
207	28293	39719
208	28369	39499
209	28496	39352
210	28595	39166
211	28691	38977
212	28787	38788
213	28930	38663
214	29021	38470
215	29136	38309
216	29240	38133
217	29329	37939
218	29433	37766
219	29547	37605
220	29640	37418
221	29718	37215
222	29830	37054
223	29949	36901
224	30042	36719
225	30177	36586
226	30264	36397
227	30356	36214
228	30446	36030
229	30590	35910
230	30721	35775
231	30813	35595
232	30927	35440
233	31027	35270
234	31143	35119
235	31255	34963
236	31358	34798
237	31473	34647
238	31581	34488
239	31686	34327
240	31804	34179
241	31912	34022
242	32095	33944
243	32241	33827
244	32326	33646
245	32467	33522
246	32562	33353
247	32703	33231
248	32837	33101
249	33025	33025
250	33181	32916
251	33305	32776
252	33617	32820
253	33785	32721
254	33979	32646
255	34206	32602
256	34375	32502
257	34558	32415
258	34734	32320
